time,daily_sentiment
2020-06-01,0.12227778110120978
2020-06-02,0.14912848360836506
2020-06-03,0.05477148567864654
2020-06-04,0.14995283995931213
2020-06-05,0.07714421110493797
2020-06-06,0.1155107411844977
2020-06-07,0.27001284725136226
2020-06-08,0.11249876338823707
2020-06-09,0.24238673611457304
2020-06-10,0.21318008328571972
2020-06-11,0.07634744117426318
2020-06-12,0.18923318139437972
2020-06-13,0.12409652297089739
2020-06-14,0.18734039690183557
2020-06-15,0.11362885443433639
2020-06-16,0.025831910152009075
2020-06-17,0.19943743315981885
2020-06-18,0.19842683746103654
2020-06-19,0.16543544897067
2020-06-20,0.24339314451757468
2020-06-21,0.18405376540289986
2020-06-22,0.17766597898218645
2020-06-23,0.11586380400363867
2020-06-24,0.24263120470922203
2020-06-25,0.15215311845143636
2020-06-26,0.12237650661145226
2020-06-27,0.14607475697994232
2020-06-28,0.18468170046806334
2020-06-29,0.16397348115610522
2020-06-30,0.1606010670845325
2020-07-01,0.12200663962225983
2020-07-02,0.1422143477277878
2020-07-03,0.23583824435869852
2020-07-04,0.18455999608962767
2020-07-05,0.26248783776254364
2020-07-06,0.23500205479937492
2020-07-07,0.151569110088632
2020-07-08,0.19825398898313915
2020-07-09,0.17234873517128071
2020-07-10,0.1686449782531149
2020-07-11,0.31517488402979715
2020-07-12,0.247789387519543
2020-07-13,0.006981943925602015
2020-07-14,0.12949068460786392
2020-07-15,0.15625077900402048
2020-07-16,0.15324494395500574
2020-07-17,0.11602058013280232
2020-07-18,-0.008067805033463707
2020-07-19,0.31813302636146545
2020-07-20,0.20396273818790403
2020-07-21,0.19660342733065286
2020-07-22,0.16675012562725994
2020-07-23,0.1427364719983859
2020-07-24,0.11790882620572123
2020-07-25,0.2102238508157952
2020-07-26,0.3031935393810272
2020-07-27,0.14140381928413145
2020-07-28,0.1348347816847067
2020-07-29,0.19345683104371372
2020-07-30,0.16096590805885402
2020-07-31,0.20252696010801527
2020-08-01,0.1005464267730713
2020-08-02,0.1824415052930514
2020-08-03,0.2073425486875706
2020-08-04,0.17881045949380128
2020-08-05,0.11630910052392716
2020-08-06,0.09452206803404767
2020-08-07,0.08037564325332641
2020-08-08,0.1402691918260911
2020-08-09,0.17086388553891863
2020-08-10,0.2251843363046646
2020-08-11,0.05118868772576495
2020-08-12,0.16727716464262743
2020-08-13,0.13745885470817829
2020-08-14,0.16819995180996145
2020-08-15,0.27696007256414373
2020-08-16,0.15738836228847503
2020-08-17,0.12432067518432935
2020-08-18,0.10609881346315425
2020-08-19,0.07240403562051351
2020-08-20,0.12055577679673662
2020-08-21,0.11381366187746907
2020-08-22,0.19543254954143635
2020-08-23,0.2632955255660605
2020-08-24,0.15159057430179934
2020-08-25,0.1714091122959534
2020-08-26,0.13693699147552252
2020-08-27,0.07226501756839537
2020-08-28,0.1013175046079544
2020-08-29,0.22415167318200166
2020-08-30,0.2565217688679695
2020-08-31,0.11206624448581895
2020-09-01,0.10657141494200516
2020-09-02,0.15141453797521154
2020-09-03,0.04609655092851697
2020-09-04,0.02554796738059897
2020-09-05,0.14445892533103188
2020-09-06,0.017288035923434846
2020-09-07,0.20221971483020992
2020-09-08,0.037139400522759616
2020-09-09,0.14678825727650818
2020-09-10,0.13707748007697937
2020-09-11,0.08970319027975789
2020-09-12,0.15373658592050726
2020-09-13,0.1528373936921852
2020-09-14,0.13314332281758742
2020-09-15,0.10253301497982334
2020-09-16,0.09936065934285396
2020-09-17,0.04603022259951254
2020-09-18,0.0436004555596846
2020-09-19,-0.018963750384070655
2020-09-20,0.03852532716358409
2020-09-21,0.1548830741330197
2020-09-22,0.07245401582784122
2020-09-23,0.10280704834522345
2020-09-24,0.11550013583602635
2020-09-25,0.11334974607418384
2020-09-26,0.23443942851033703
2020-09-27,0.17699103817647818
2020-09-28,0.1354876873868235
2020-09-29,0.14993953746809086
2020-09-30,0.08939757900374928
2020-10-01,0.09173063657901905
2020-10-02,0.10042094304698154
2020-10-03,0.18066133902623102
2020-10-04,0.046378428081296524
2020-10-05,0.20602013341716077
2020-10-06,0.14264192969964848
2020-10-07,0.07454421638532449
2020-10-08,-0.015456717242212856
2020-10-09,0.025425285663244864
2020-10-10,0.3303226449272849
2020-10-11,0.2547679331994826
2020-10-12,0.13876281414076547
2020-10-13,0.07891519566377005
2020-10-14,0.17855879608190284
2020-10-15,0.1856737459147418
2020-10-16,0.07547488237420717
2020-10-17,0.19537749886512756
2020-10-18,0.30716790824100887
2020-10-19,0.12304980629081026
2020-10-20,0.07300206466957375
2020-10-21,0.06483935192227364
2020-10-22,0.13850850003366252
2020-10-23,0.07031474395315776
2020-10-24,0.27533696328892426
2020-10-25,0.2463517451987547
2020-10-26,0.13180189383657356
2020-10-27,0.1537013056278229
2020-10-28,0.08623789169866106
2020-10-29,0.1167805912720896
2020-10-30,0.09565931603764043
2020-10-31,0.03007313699433298
2020-11-01,0.2987249427371555
2020-11-02,0.12670327690632446
2020-11-03,0.08961020410060883
2020-11-04,0.06466175457264514
2020-11-05,0.15847632801923595
2020-11-06,0.15237283079247727
2020-11-07,0.26805336497448107
2020-11-08,0.18806489805380502
2020-11-09,0.03153181023020761
2020-11-10,0.10405959188938141
2020-11-11,0.16121244803071022
2020-11-12,0.17893744925016997
2020-11-13,0.10406194634483633
2020-11-14,0.1314694375702829
2020-11-15,0.22405130493229833
2020-11-16,0.16629429130374637
2020-11-17,0.12471070742224627
2020-11-18,0.09278392274814853
2020-11-19,0.1169455040370107
2020-11-20,0.034489284131837925
2020-11-21,0.15301883685124384
