time,daily_sentiment
2020-05-31,0.08354265745296034
2020-06-01,0.024002221437442985
2020-06-02,0.026833512399822745
2020-06-03,0.049675452254791135
2020-06-04,0.019691059733974014
2020-06-05,0.009622142899842251
2020-06-06,0.07361033082713742
2020-06-07,0.14493031347436564
2020-06-08,0.07144044186633938
2020-06-09,0.04300584762668033
2020-06-10,0.038567118458289064
2020-06-11,-0.019105211688377807
2020-06-12,-0.01883145595403542
2020-06-13,0.06669678821326783
2020-06-14,0.07552372937944973
2020-06-15,0.05385799447128618
2020-06-16,0.022835081669938372
2020-06-17,-0.002199120497009786
2020-06-18,0.03461873598791716
2020-06-19,0.008461819266393987
2020-06-20,0.10121201348100972
2020-06-21,0.062237195125440264
2020-06-22,0.02080358411575552
2020-06-23,0.026807703443669846
2020-06-24,-0.024168150931616797
2020-06-25,0.026914240743995333
2020-06-26,0.011122566358796479
2020-06-27,0.09965820215186294
2020-06-28,0.08788094911152186
2020-06-29,0.047284017879272174
2020-06-30,0.0427284909420259
2020-07-01,0.04570705452572632
2020-07-02,0.057926880124636176
2020-07-03,0.07224187019492398
2020-07-04,0.06193902278214358
2020-07-05,0.09675783161507097
2020-07-06,0.024072689307474818
2020-07-07,0.0025623182514654774
2020-07-08,0.0035795180317972804
2020-07-09,0.025652149663797454
2020-07-10,0.021064939777877566
2020-07-11,0.031426595510156065
2020-07-12,0.048134241034002864
2020-07-13,0.004673603115373096
2020-07-14,0.022666264958851694
2020-07-15,0.018069768377712795
2020-07-16,0.00020578285743450277
2020-07-17,0.048359058558358974
2020-07-18,0.056166905976966296
2020-07-19,0.07548631659619094
2020-07-20,0.050564741524045956
2020-07-21,0.028249152655899935
2020-07-22,0.027170405567603667
2020-07-23,0.008776269545400046
2020-07-24,0.0077894523629435785
2020-07-25,0.035009676922180884
2020-07-26,0.06231729883804259
2020-07-27,0.0325430130922583
2020-07-28,0.017267491669978947
2020-07-29,0.038627745287103284
2020-07-30,0.05891682137651134
2020-07-31,0.03895950652428595
2020-08-01,0.1409964166756059
2020-08-02,0.11623804207031543
2020-08-03,0.07728652259489592
2020-08-04,0.028237457679315858
2020-08-05,0.05310694012024724
2020-08-06,0.04059675593811353
2020-08-07,0.022196703885932523
2020-08-08,0.11007256371768441
2020-08-09,0.10140199800987383
2020-08-10,0.0052957364613836246
2020-08-11,0.037545127601883416
2020-08-12,0.055242481554095856
2020-08-13,0.04614974661969787
2020-08-14,0.036556156076315294
2020-08-15,0.08825373930520698
2020-08-16,0.10589181920165866
2020-08-17,0.03286307433792773
2020-08-18,0.02038593746026088
2020-08-19,0.00795620443812046
2020-08-20,0.026692503156605457
2020-08-21,0.026526215909461078
2020-08-22,0.07783570963144303
2020-08-23,0.0482162587924722
2020-08-24,0.01978286664080711
2020-08-25,0.038625729588787405
2020-08-26,0.043849923532159094
2020-08-27,0.026626631990990416
2020-08-28,0.025608270745916466
2020-08-29,0.043700059367304665
2020-08-30,0.054998885342982314
2020-08-31,0.023445924192783338
2020-09-01,0.014846729248685462
2020-09-02,0.000409852719939915
2020-09-03,-0.015022370935575707
2020-09-04,0.009476502326318236
2020-09-05,0.01828406968948677
2020-09-06,0.026058558464235257
2020-09-07,0.02416479900933716
2020-09-08,-0.020349761826240327
2020-09-09,0.015547015948928822
2020-09-10,0.03167802494999776
2020-09-11,0.0319867815309042
2020-09-12,0.08684667483264324
2020-09-13,0.0674249251484871
2020-09-14,0.050018865575614475
2020-09-15,0.042826168892151885
2020-09-16,0.03833909309122323
2020-09-17,0.021070491623999273
2020-09-18,0.048434061072598684
2020-09-19,0.0859476307443544
2020-09-20,0.04439018435083274
2020-09-21,0.005210270672315803
2020-09-22,0.015490774798534604
2020-09-23,0.014751723280608824
2020-09-24,0.021274479591180125
2020-09-25,0.04274663204554351
2020-09-26,0.044488691483382824
2020-09-27,0.05525735427235914
2020-09-28,0.07166393519126486
2020-09-29,0.04686096383381295
2020-09-30,0.07684121505155023
2020-10-01,0.04656822444624937
2020-10-02,0.03831586157004845
2020-10-03,0.1138782536164127
2020-10-04,0.08107400677827974
2020-10-05,0.0445801938654548
2020-10-06,0.018658509516871084
2020-10-07,0.06453131176899346
2020-10-08,0.05045251230581548
2020-10-09,0.0614680517526676
2020-10-10,0.054016485854236074
2020-10-11,0.09304669240838316
2020-10-12,0.0637955781597419
2020-10-13,0.0485831198597113
2020-10-14,0.06549529000603309
2020-10-15,0.03635427151268595
2020-10-16,0.04792402920295316
2020-10-17,0.06880005603281472
2020-10-18,0.071712409901893
2020-10-19,0.04543047529715364
2020-10-20,0.015259487329473818
2020-10-21,0.05408071615457614
2020-10-22,0.07569165435118444
2020-10-23,0.022626602249838305
2020-10-24,0.09510247470164786
2020-10-25,0.12387778563285942
2020-10-26,0.06349960310631488
2020-10-27,0.0656985871339851
2020-10-28,0.027911644139890265
2020-10-29,0.05346066932171879
2020-10-30,0.02053337663980531
2020-10-31,0.008112239354815566
2020-11-01,0.07639572381669162
2020-11-02,0.0773114121818757
2020-11-03,0.1073085133339837
2020-11-04,0.03531674317904373
2020-11-05,0.06451364845927406
2020-11-06,0.06765465421358466
2020-11-07,0.07949745168616949
2020-11-08,0.0950184552506967
2020-11-09,0.014509696931849388
2020-11-10,0.023279947364887997
2020-11-11,0.061499206361519426
2020-11-12,0.035650605434485574
2020-11-13,0.028109934737410726
2020-11-14,0.0830599701823518
2020-11-15,0.07937133626595831
2020-11-16,0.035852397006817756
2020-11-17,0.039241134484237376
2020-11-18,0.04621155603196886
2020-11-19,0.04448178975961993
