time,daily_sentiment
2020-06-01,0.0
2020-06-02,0.24250485748052597
2020-06-03,0.3324957688649495
2020-06-04,-0.14271909849984304
2020-06-05,-0.1622539261976878
2020-06-06,-0.010002869367599487
2020-06-07,0.19999988079071046
2020-06-08,0.0
2020-06-09,0.2727236097509211
2020-06-10,0.17248689350874527
2020-06-11,-0.15950816869735718
2020-06-12,0.0
2020-06-13,0.23937779664993286
2020-06-14,0.0014976958433787029
2020-06-15,-0.09008551727641713
2020-06-16,0.0
2020-06-17,0.0
2020-06-18,0.2499954700469971
2020-06-19,0.28420987725257874
2020-06-20,0.0
2020-06-21,-0.16516889135042825
2020-06-22,0.024619057774543762
2020-06-23,0.2492556720972061
2020-06-24,0.24892611056566238
2020-06-25,0.15384611716637245
2020-06-26,0.18103717132048172
2020-06-27,-0.08439183980226517
2020-06-28,0.0014975567658742084
2020-06-29,0.15020669003327689
2020-06-30,0.4005185067653656
2020-07-01,0.36877745389938354
2020-07-02,0.0
2020-07-03,0.4897811114788055
2020-07-04,0.0
2020-07-05,0.4999999403953552
2020-07-06,0.0
2020-07-07,0.0
2020-07-08,0.3333332538604736
2020-07-09,0.9888342022895812
2020-07-10,0.05716334581375124
2020-07-11,0.3035387496153514
2020-07-12,0.15063205361366272
2020-07-13,0.21178028800270773
2020-07-14,0.3456921325280116
2020-07-15,0.1799292347647927
2020-07-16,0.41029901802539825
2020-07-17,0.1249999850988388
2020-07-18,-0.2499779164791107
2020-07-19,0.0
2020-07-20,0.0
2020-07-21,0.09883230179548264
2020-07-22,0.1790148727595806
2020-07-23,0.250493769462292
2020-07-24,-0.09999985694885254
2020-07-25,0.0
2020-07-26,0.24997801333665848
2020-07-27,0.4304518898328145
2020-07-28,0.06063064081328256
2020-07-29,0.11090671353869969
2020-07-30,0.30026725685693384
2020-07-31,0.19306412865133846
2020-08-01,-0.2477351725101471
2020-08-02,0.4949100315570832
2020-08-03,0.0045644767356641395
2020-08-04,0.0006365430982489393
2020-08-05,-0.19754358612257858
2020-08-06,0.08379065659311083
2020-08-07,-0.08390727383749826
2020-08-08,0.0
2020-08-09,0.21516185253858564
2020-08-10,0.41542062163352966
2020-08-11,-0.13479983806610107
2020-08-12,0.045194254680113365
2020-08-13,0.20549359917640686
2020-08-14,8.785227934520375e-05
2020-08-15,0.2499953508377075
2020-08-16,0.0014640986919403076
2020-08-17,-0.04539558788140614
2020-08-18,0.07292735576629639
2020-08-19,0.04879851457549304
2020-08-20,-0.07658619433641434
2020-08-21,-0.3074285201728344
2020-08-22,-0.3747704029083252
2020-08-23,0.39462987184524534
2020-08-24,0.0884670064999507
2020-08-25,-0.061564188737135664
2020-08-26,-0.22604979674021403
2020-08-27,0.10841753440243855
2020-08-28,0.0
2020-08-29,0.0
2020-08-30,0.19286911487579345
2020-08-31,0.24242410560448965
2020-09-01,0.06974750757217407
2020-09-02,0.28157263142721994
2020-09-03,0.0
2020-09-04,0.3998287916183471
2020-09-05,0.25
2020-09-06,0.3330562512079875
2020-09-07,0.0
2020-09-08,-0.059233272075653084
2020-09-09,0.03606852889060974
2020-09-10,0.0
2020-09-11,0.016862779855728167
2020-09-12,0.0
2020-09-13,0.16048540671666464
2020-09-14,0.16035564740498862
2020-09-15,0.0
2020-09-16,0.08789361847771539
2020-09-17,0.0
2020-09-18,0.0
2020-09-19,-0.19820266962051392
2020-09-20,-0.002789214253425598
2020-09-21,-0.002708330750465393
2020-09-22,0.2744574867762052
2020-09-23,0.11110456784566244
2020-09-24,0.0
2020-09-25,-0.1651567816734314
2020-09-26,0.0
2020-09-27,0.28831326961517334
2020-09-28,0.23248426616191864
2020-09-29,-0.1238766685128212
2020-09-30,-0.06920558756048029
2020-10-01,0.16685350239276886
2020-10-02,-0.03853374990549954
2020-10-03,-0.3303377827008565
2020-10-04,0.2497184723615646
2020-10-05,0.2355273962020874
2020-10-06,0.15999987125396728
2020-10-07,0.0
2020-10-08,0.11110205782784356
2020-10-09,0.0
2020-10-10,0.0
2020-10-11,0.3746420741081238
2020-10-12,0.11321979761123657
2020-10-13,0.0
2020-10-14,0.05649685545971519
2020-10-15,0.029649129935673306
2020-10-16,0.4999315679073334
2020-10-17,0.1131041869521141
2020-10-18,0.12572310119867325
2020-10-19,0.25920672586986
2020-10-20,0.3035926752620273
2020-10-21,0.475198052146218
2020-10-22,0.17376816001805392
2020-10-23,0.09092116355895996
2020-10-24,0.0
2020-10-25,0.16373674074808756
2020-10-26,0.08790886752745684
2020-10-27,0.060507801317033316
2020-10-28,0.076583257427922
2020-10-29,0.156042598761045
2020-10-30,-0.1957934300104777
2020-10-31,0.0
2020-11-01,0.2490312606096268
2020-11-02,0.14388257690838405
2020-11-03,0.0
2020-11-04,0.08331518868605296
2020-11-05,0.1897005240122477
2020-11-06,-0.1287684291601181
2020-11-07,0.031753991331372924
2020-11-08,0.2023400515317917
2020-11-09,-0.004041647911071778
2020-11-10,0.09090909090909091
2020-11-11,-0.1983519434928894
2020-11-12,0.07691540167881893
2020-11-13,-0.060653132550856644
2020-11-14,-0.07748834043741228
2020-11-15,0.4190753102302551
2020-11-16,0.15433015288977786
2020-11-17,0.00078907183238439
2020-11-18,-0.08369381353259087
2020-11-19,0.23268066211180252
2020-11-20,0.1552885721127192
2020-11-21,0.0
2020-11-22,0.11810063570737842
2020-11-23,0.09832253721025255
2020-11-24,0.05405406653881073
2020-11-25,0.2013358133179801
2020-11-26,0.0006365974744161155
2020-11-27,-0.009132091204325359
2020-11-28,0.16666394472122195
2020-11-29,0.3320400714874268
